Product,Entity,Operation,Campaign Id,Ad Group Id,Portfolio Id,Ad Id (Read only),Keyword Id (Read only),Product Targeting Id (Read only),Campaign Name,Ad Group Name,Campaign Name (Informational only),Ad Group Name (Informational only),Portfolio Name (Informational only),Start Date,End Date,Targeting Type,State,Campaign State (Informational only),Ad Group State (Informational only),Daily Budget,SKU,ASIN (Informational only),Eligibility Status (Informational only),Reason for ineligibility (Informational only),Ad Group Default Bid,Ad Group Default Bid (Informational only),Bid,Keyword Text,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Resolved Product Targeting Expression (Informational only),Impressions,Clicks,Click-through Rate,Spend,Sales,Orders,Units,Conversion Rate,Acos,CPC,ROAS
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear galone | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - jojoba oil clear galone - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear galone | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear galone | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear galone | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear galone | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear galone | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,jojoba oil clear galone,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear bulk | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - jojoba oil clear bulk - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear bulk | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear bulk | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear bulk | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear bulk | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - jojoba oil clear bulk | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,jojoba oil clear bulk,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - jojoba oil | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - jojoba oil - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - jojoba oil | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - jojoba oil | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,jojoba oil,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - jojoba oil organic | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - jojoba oil organic - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil organic | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil organic | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - jojoba oil organic | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - jojoba oil organic | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - jojoba oil organic | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,jojoba oil organic,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - jojoba oil skin | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - jojoba oil skin - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil skin | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementProductPage,0.0,,,,,,,,,,,,,
Sponsored Products,Bidding Adjustment,Create,Clear Jojoba Oil  |  SEED  - jojoba oil skin | B09BB4Y111 - SP,,,,,,,,,,,,,,,enabled,,,,,,,,,,,,Dynamic bids - down only,placementTop,0.0,,,,,,,,,,,,,
Sponsored Products,Ad Group,Create,Clear Jojoba Oil  |  SEED  - jojoba oil skin | B09BB4Y111 - SP,seed,,,,,,seed,,seed,,,,,enabled,enabled,enabled,,,,,,1.11,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Product Ad,Create,Clear Jojoba Oil  |  SEED  - jojoba oil skin | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,test-sku,,Eligible,,,,,,,,,,,,,,,,,,,,,,
Sponsored Products,Keyword,Create,Clear Jojoba Oil  |  SEED  - jojoba oil skin | B09BB4Y111 - SP,seed,,,,,,,,seed,,,,,enabled,enabled,enabled,,,,,,,,1.11,jojoba oil skin,exact,,,,,,,,,,,,,,,,
Sponsored Products,Campaign,Create,Clear Jojoba Oil  |  SEED  - carrier oil essential oil mixing | B09BB4Y111 - SP,,,,,,Clear Jojoba Oil | SEED - seed  - carrier oil essential oil mixing - SP,,,,,20240910.0,,MANUAL,enabled,enabled,,300.0,,,,,,,,,,Dynamic bids - down only,,,,,,,,,,,,,,,
